"Model","AUC","Brier","Reference"
"Model 1","0.989 [0.987, 0.993]","0.037 [0.033, 0.040]","0.204 [0.200, 0.212]"
"Model 2","0.967 [0.965, 0.968]","0.070 [0.064, 0.077]","0.204 [0.200, 0.212]"
"Model 3","0.936 [0.922, 0.949]","0.092 [0.083, 0.102]","0.204 [0.200, 0.212]"
