"Model","N","Prevalence","Prediction","Intercept","Slope"
"Model 1","521 [521, 521]","0.286 [0.277, 0.303]","0.284 [0.271, 0.309]","0.04 [-0.10, 0.12]","1.52 [1.32, 1.74]"
"Model 2","521 [521, 521]","0.286 [0.277, 0.303]","0.285 [0.280, 0.294]","0.02 [-0.04, 0.11]","1.76 [1.33, 2.33]"
"Model 3","521 [521, 521]","0.286 [0.277, 0.303]","0.297 [0.290, 0.307]","-0.09 [-0.13, -0.03]","1.58 [1.36, 1.74]"
