"candidate","n","weighted_share"
"(1) Republicans Donald Trump & Mike Pence",568,0.283308815468658
"(2) Democrats Joe Biden & Kamala Harris",1437,0.684227789895432
"(3) Libertarians Jo Jorgensen & Spike Cohen",38,0.0151623263268047
"(4) Greens Howie Hawkins & Angela Walker",10,0.0042003113903425
"(5) Someone else (SPECIFY)",29,0.0131007569187622
"(6) None of these",0,NA
