"Model","Seed","Option","Node","Inner_mtry","Final_mtry"
1,"202001","fraction20",20,1147,1174
2,"202001","fraction20",5,1019,1038
3,"202001","fraction20",5,974,992
1,"202002","fraction20",20,1146,1169
2,"202002","fraction20",5,1018,1034
3,"202002","fraction40",5,1947,1976
1,"202003","fraction40",5,2296,2348
2,"202003","sqrt",5,71,72
3,"202003","fraction20",5,975,992
