"variable","code","response","questionnaire_pdf_page"
"Q543",1,"Support government increasing spending by $25 billion on border security, including building a wall between the U.S. and Mexico",94
"Q543",2,"Oppose government increasing spending by $25 billion on border security, including building a wall between the U.S. and Mexico",94
"Q614",1,"I oppose Trump's immigration policies",101
"Q614",2,"I support Trump's immigration policies",101
"Q2R1",6,"Haven't heard enough to say",13
"Q24",88,"Don't know",15
"Q25",88,"Don't know",15
