"stage","n"
"Raw records",17545
"Latino quota, all releases",4301
"Registered Latino, all releases",2368
"Reported voters, all releases",2220
"Valid choice, all releases",2220
"Primary release, all races",14977
"Primary Latino quota",3942
"Registered primary Latino",2212
"Reported primary Latino voters",2082
"Valid choice: final sample",2082
